bce_average_train_loss,mse_average_train_loss,epochs
0.07727544663015322,0.009473283683890523,0
0.03737469184114106,0.002875966134588772,1
0.03369503747203841,0.002325800716661703,2
0.03215501231876151,0.0020533777915535674,3
0.03131452600598036,0.0018894692980005738,4
0.030774288347468304,0.001784793011453377,5
0.03021531478132135,0.001646090544006745,6
0.030077073077235988,0.0015930464449128014,7
0.029739807944875865,0.0015170530354061244,8
0.029431451701713567,0.0014147056590171354,9
0.029203391704128015,0.0013579728649858965,10
0.028971354191626737,0.0012874396584562995,11
0.028841973034356108,0.0012455341387446503,12
0.028629239349059723,0.0011696333929091393,13
0.028444824796450798,0.001091581503696852,14
0.028232930059633662,0.0010384117319229896,15
0.02813411751134911,0.0010011574221557315,16
0.028072001983472452,0.0009784245728713988,17
0.027906166763985576,0.0009204004902916787,18
0.02779092617220615,0.0008784413973019276,19
0.027655686125458784,0.0008225582906246261,20
0.027463126618733357,0.000768621298004803,21
0.02738857590335997,0.0007346340207366657,22
0.027364971921147414,0.0007297896972246674,23
0.0272799312750149,0.0006894396299767734,24
0.027175173491014906,0.0006648954956139433,25
0.027234968705917125,0.0006754796498047946,26
0.027001660111261972,0.0006104118121090583,27
0.026943248177143796,0.0005799251617764324,28
0.026897755128579524,0.0005599988219924927,29
0.02682008083217108,0.0005339006750742629,30
0.02670116407150899,0.0004866800178690631,31
0.02657087527252921,0.0004408053843767836,32
0.02670333545711172,0.00046646327428793505,33
0.026489059183390895,0.00040415526245166105,34
0.026370342343521477,0.00036353445345718396,35
0.02627849303672661,0.00033472546527803357,36
0.026288231123407283,0.00032340815130225736,37
0.02613808748185934,0.0002920193794819915,38
0.02608930226883397,0.00025693947516894204,39
0.025958692392886583,0.00021066634544878075,40
0.025915956077863223,0.0001830354615699046,41
0.02584036567889566,0.00016078040987018018,42
0.025758640391368364,0.00014662057559571028,43
0.025714568784413624,0.00012924734078319602,44
0.025630200534459933,0.00010724699209665355,45
0.025595036939011148,0.00010447806969970048,46
0.025587497148007603,9.622901226025327e-05,47
0.025573172892008594,9.575667153416791e-05,48
0.02555736274126187,9.153347963177079e-05,49
0.025525713882329475,8.813905399953759e-05,50
0.02554136553975805,8.173494937744263e-05,51
0.025514944442477656,8.118145772061152e-05,52
0.02551666406643151,8.005520957244218e-05,53
0.02555314147255229,8.408022537636196e-05,54
0.02554086815734305,8.240610259235837e-05,55
0.025480053251861926,7.676984650467817e-05,56
0.025467375789455432,6.752617176532647e-05,57
0.025472292395767256,7.138742748153602e-05,58
0.025445233459523573,6.613653996607158e-05,59
0.025468698211351233,6.734095601205265e-05,60
0.025445290518241313,6.402108723632044e-05,61
0.02541593320892384,5.948288851676757e-05,62
0.025405775137882138,5.7852762735486215e-05,63
0.025444170198024217,6.0172289175252855e-05,64
0.02540536609539135,5.6488633076262534e-05,65
0.02538958514792536,5.124808796892064e-05,66
0.02538244568522851,5.448993520693322e-05,67
0.02539968397000327,5.098859241225548e-05,68
0.02541797475224763,5.274957373184585e-05,69
0.025407721349342386,5.565960676373912e-05,70
0.025415537916311067,5.3096163204982855e-05,71
0.02539025257393044,5.3220608962837833e-05,72
0.025364089102002243,5.299427267807494e-05,73
0.025402004414018076,5.245231502281675e-05,74
0.02540644745918075,5.958212180179836e-05,75
0.02538189407082359,5.588019217182262e-05,76
0.025368868939615975,5.291233876836779e-05,77
0.025342631355002896,5.069528089195078e-05,78
0.025387607468058116,4.434357586104116e-05,79
