vq_average_loss,bce_average_train_loss,mse_average_train_loss,epochs
0.1844948509417886,0.0746892178290753,0.009203554506661679,0
0.05638415461883473,0.04890488063794884,0.005045401942144013,1
0.04733665837864181,0.042536496311126645,0.003962076772191566,2
0.04425580217386011,0.040275811082004905,0.0036084801040533647,3
0.042391468157720325,0.03876761289023275,0.0033393191810154434,4
0.04100747311946435,0.037658654771108725,0.003133272607085393,5
0.039712171168557964,0.03662875108420849,0.002972045151081554,6
0.03885246036415124,0.035952839045668365,0.002858488120831287,7
0.038116423497397696,0.0352876506296534,0.002719694557810324,8
0.037653672223414605,0.03493517858149418,0.0026623964188012047,9
0.037094184248965587,0.03447494699839671,0.0025730917508709223,10
0.03659178009584321,0.03404274933863825,0.0024899581333753377,11
0.036210010857812724,0.03372267420267939,0.0024243577052347697,12
0.035950147869748685,0.03351963054969083,0.002385623618520459,13
0.03572827780703504,0.03331138002662803,0.002346299812735887,14
0.03554898189689646,0.03316015343944631,0.002309039674451266,15
0.03505553169428703,0.03276793299308374,0.002229063608449645,16
0.03486161185756101,0.03258679728561909,0.0021920458164449838,17
0.03461833658567325,0.032396084755359586,0.0021463037092921944,18
0.03446576166804412,0.032253970256327986,0.0021079992916406922,19
0.03424554203997305,0.03207883249088448,0.002088657302732799,20
0.03405547758854514,0.031901988682884665,0.002054374294130871,21
0.03395310618058221,0.031843056050527035,0.0020255203196198573,22
0.033834306944405014,0.03173842229622992,0.0019909924360684787,23
0.033685253390190587,0.031611373217486256,0.001963016473519705,24
0.03349555523401529,0.03145563923496397,0.0019427775984498948,25
0.03337591012293969,0.03133851486309689,0.0019231565927281676,26
0.03324181107270658,0.031224226588430118,0.0018853651530497788,27
0.03317959245350493,0.03116957068293538,0.0018730381183120323,28
0.03307018320464609,0.03107814528235239,0.0018455444606390768,29
0.032940764064390456,0.030975686292627348,0.0018131237713404785,30
0.03291988896028181,0.030952949863133117,0.0018151886866488798,31
0.032764580287975284,0.030806385804360837,0.0017586853355169296,32
0.0327235590104931,0.03077054041526725,0.0017782936624986068,33
0.03265261908422163,0.03069866052711729,0.0017465004237045782,34
0.03256523938634288,0.03064183009105112,0.0017366553586556685,35
0.03259466581009141,0.030648525233319655,0.0017371857872270234,36
0.03234390917248163,0.030457076031583638,0.0016754489490322432,37
0.032209012722924125,0.030332792934086455,0.0016318154220010654,38
0.0322498886860046,0.030354588409539442,0.0016423619344091071,39
0.032090683341325824,0.03023554573780927,0.0016117720193716337,40
0.032074700619782036,0.030232222825663173,0.0016080036100664704,41
0.03200350203855553,0.030158862228219833,0.0015862468453404965,42
0.03182061788761736,0.030001752799255165,0.0015557269933142105,43
0.03177917669129431,0.029977837895703074,0.0015380515886035434,44
0.03170148770900527,0.029889124337976903,0.001519671439172129,45
0.03158367565603711,0.029804379468662056,0.001497842925752808,46
0.0315598692258249,0.029790523700678168,0.0014885018319921127,47
0.03147837967054928,0.029727282844970573,0.0014606069781625615,48
0.03144476344649816,0.029692713040203305,0.001449394568066164,49
0.031383795607554256,0.02963448343002916,0.0014401940004689496,50
0.03140158523529319,0.02965440563670355,0.0014421799455315398,51
0.031173208279151415,0.02948463364649358,0.0013931120559222173,52
0.031219609671426778,0.029532202645836763,0.0014014260614660554,53
0.031059642027520654,0.02937508358540547,0.0013520967334639936,54
0.031072917661100777,0.02940430171113817,0.001360750311679071,55
0.031116252418738513,0.02943755967083888,0.0013679152705014014,56
0.031133126944827675,0.02943419790522537,0.0013724155332097531,57
0.030982204380646423,0.02931787401213119,0.0013379267283514067,58
0.030815023910160638,0.029178594964458116,0.0012973552363826403,59
0.03084420867676112,0.029207848742529376,0.001295478404651691,60
0.030739555491050286,0.029118900201353597,0.0012788705342921928,61
0.030661905053347798,0.029059509171088738,0.0012551448474656885,62
0.03056080489601921,0.028970742364175357,0.0012384683570014921,63
0.030583549562336214,0.028987486561264226,0.0012352011530968974,64
0.030575364023147516,0.028981041387846723,0.0012341378254923576,65
0.030583265813151794,0.028977123683496336,0.001227819595963287,66
0.03043301028185454,0.028854402334396564,0.0011956109285083173,67
0.030345116699835164,0.028793793461805012,0.0011689342761964504,68
0.030428080318785793,0.0288639353429103,0.0011799183633791554,69
0.030364285349546365,0.0288033919624198,0.001163570833656862,70
0.030293401003108553,0.028756550836128804,0.001158947263722631,71
0.030333246764301054,0.028788804708413742,0.001169100915077119,72
0.03032439729039693,0.02876975225406376,0.0011537933067521594,73
0.0301698834153276,0.028646941675837315,0.0011071569482847374,74
0.03011320396583883,0.02859067610797271,0.0011030843695824563,75
0.030016894513114015,0.0285380250077002,0.001078769109204842,76
0.029982914829898122,0.028524143845966115,0.0010877489963494916,77
0.029884393902579742,0.028433086219519826,0.001059670627512618,78
0.0299321866252614,0.028474413289047366,0.0010666253557662718,79
